,pid,trust,knowledge,age,LatDist,LongDist,MaxVel,MeanVel,MaxLatAcc,MeanLatAcc,MaxLongAcc,MeanLongAcc,MaxLatJerk,MeanLatJerk,MaxLongJerk,MeanLongJerk,NumPks,MaxPkAmp,MeanScl,MeanEntropy,MaxEntropy,MeanDwell,MaxDwell,MeanHr,MaxHr,Trial,Time
0,25,8,2,25,200.0,200.0,10.179558,9.674723551401868,0.30456500000000003,0.11055356074766357,-0.349577,0.105301,0.357982,0.08768252336448598,0.261816,0.1035588691588785,1.0,0.4585897150110637,0.2932409258066916,0.2233638589347452,0.2456384982487726,0.7470525458580729,0.7741966531853791,75.2573168068493,75.2573168068493,2,0
1,25,8,2,25,200.0,200.0,10.198769,9.619360027522935,0.573396,0.2440370275229357,-0.369831,0.2321386513761469,-0.410394,0.1735729541284404,0.268062,0.10507935779816516,0.0,-0.20943599497346094,-0.20943599497346094,0.2323483457317635,0.2555762173429085,0.7892121249473157,0.8122799681353275,72.9404959402201,75.2573168068493,2,1
2,25,8,2,25,200.0,200.0,10.194792,9.846231443396226,-0.541409,0.36893289622641495,0.235687,0.1587677264150943,-0.295467,0.10780696226415094,0.311487,0.08345516981132074,0.0,-0.4616574916174806,-0.4616574916174806,0.26213200744490445,0.27839852429483114,0.7570384560124609,0.8022459823487398,67.17389625490068,71.12641061402472,2,2
3,25,8,2,25,200.0,200.0,10.168114,9.90495216981132,-0.426275,0.30138190566037737,-0.286482,0.1217231509433962,-0.269722,0.0851093962264151,-0.271023,0.0770522169811321,0.0,-0.6046724370912929,-0.6046724370912929,0.2615869389899152,0.27289520106500864,0.6652630421694327,0.7109541242415612,77.99229029299931,79.26244151803792,2,3
4,25,8,2,25,200.0,200.0,10.171177,9.420412882882882,-0.193638,0.11649530630630628,0.483151,0.3393894504504504,-0.186579,0.07487067567567568,0.505199,0.1418001981981982,1.0,0.4458119610328771,0.17006457679907058,0.2705348503059498,0.286203018852627,0.5709234435996886,0.6504629322004303,82.96464437629376,86.53745948652296,2,4
5,25,8,2,25,200.0,18.986676,10.241447,2.66670098241206,-0.152322,0.04316722110552764,-2.930145,0.6352814949748744,0.326416,0.036714188442211054,3.327535,0.3777124145728644,3.0,1.6075209583402803,0.5757474519990876,0.21410735026565564,0.2741444626058124,0.6296845736059153,0.8483404351978157,102.55101710089491,134.83160661920894,2,5
6,25,8,2,25,200.0,200.0,10.103031,8.36529906504065,0.462441,0.04835651219512195,2.110652,1.3777531463414632,0.5643560000000001,0.10860192682926832,-0.594353,0.3027725284552846,1.0,-0.24258008030904565,-0.2380036339486892,0.18006055916348734,0.2313925075428329,0.8746707157883064,0.9156736883549564,91.82768046606004,111.1414130030386,2,6
7,25,8,2,25,200.0,200.0,10.065103,9.299289034782607,0.995645,0.7897389304347826,0.461747,0.28236860869565217,0.410145,0.1186706608695652,0.538269,0.17580161739130434,0.0,-0.5239861117256579,-0.5239861117256579,0.17996140300944888,0.2063070574574961,0.7974625472267935,0.8802935798830325,78.85431546587766,85.81025093373407,2,7
8,25,8,2,25,200.0,200.0,10.273862,9.871452761467891,1.120829,1.041244981651376,0.412421,0.24240511926605504,-0.247747,0.08812903669724773,-0.322441,0.12728173394495412,0.0,-0.269756694672516,-0.269756694672516,0.24494455291810374,0.2733093966779871,0.6008737498947502,0.6739044304424653,90.06102491710142,91.35307357353588,2,8
9,25,8,2,25,200.0,200.0,10.284152,9.659056360360358,1.385374,0.9423268828828828,0.445794,0.2925973603603604,-0.547305,0.16589810810810815,-0.612617,0.17606698198198198,0.0,-0.5971106691946249,-0.5971106691946249,0.2886756722288723,0.30467738240178033,0.5029447841449923,0.5434128734710246,84.19506670947085,91.80017417410059,2,9
10,25,8,2,25,200.0,200.0,10.12378,9.409585125,1.1719620000000002,0.5153431160714286,-0.340054,0.2128266964285714,-0.999645,0.2516545,0.435295,0.1727090625,1.0,-0.06402859537283387,-0.2599303641091801,0.3016900307442697,0.3170943460751243,0.4519023272265778,0.5053150324841824,80.19437564794195,85.12050057735766,2,10
11,25,8,2,25,200.0,200.0,10.338778,3.761374602150538,-0.383833,0.1346597670250896,-2.944633,1.2263719964157709,-0.41402,0.07552388888888888,2.923728,0.559834394265233,2.0,1.3961768195070927,0.5638658768695435,0.26728421422406323,0.2997835871150123,0.5165710956869122,0.7417998064805718,87.37888952329331,114.78504666096902,2,11
12,25,8,2,25,200.0,200.0,10.201339,9.764385814814814,1.197455,0.7267134814814814,1.579114,0.581947787037037,0.951716,0.2807146203703704,-0.790375,0.3333960000000001,1.0,0.3016897883699959,0.013341956347600709,0.2584867408915922,0.28222666898700394,0.6701126062908286,0.7460255240902649,93.83096560818956,98.77089530722913,2,12
13,25,8,2,25,6.474984,200.0,10.07299,9.819926056603775,0.666848,0.194024141509434,-0.421753,0.3937916698113208,-0.400003,0.17626851886792455,-0.07685499999999999,0.01774547169811321,0.0,-0.4930377438448107,-0.4930377438448107,0.2850025125476083,0.2959837820234815,0.502319283473764,0.563966308278773,91.04837131259346,94.6446116911162,2,13
14,25,8,2,25,5.0881690000000015,200.0,10.271985,10.203638745098042,-0.311485,0.12668617647058825,-0.596865,0.4776363333333333,-0.617045,0.204879,0.580091,0.06809882352941178,1.0,-0.12751981187272832,-0.19871325584739916,0.2865204311295965,0.3007512927573398,0.5183438637193843,0.6387614177956676,98.52900281790392,108.48800870846506,2,14
