pid,LatDist,LongDist,MaxVel,MeanVel,MaxLatAcc,MeanLatAcc,MaxLongAcc,MeanLongAcc,MaxLatJerk,MeanLatJerk,MaxLongJerk,MeanLongJerk,NumPks,MaxPkAmp,MeanScl,MeanEntropy,MaxEntropy,MeanDwell,MaxDwell,MeanHr,MaxHr,Event,Trial
26,8.856839,200,10.278255,10.0205126436,0.601209,0.1588378663,-0.639578,0.4483129653,0.634012,0.1783963564,0.64708,0.0398265594,3,0.5657296425,0.1973792434,0.2089361699,0.2274269921,0.5708002499,0.6898005026,120.146593535,129.1797410146,1,2
26,200,200,10.30163,4.6340580778,-0.375609,0.1291000329,-2.965187,1.1196791587,-0.502256,0.0967488623,2.855295,0.5015163353,2,0.4556557118,0.1109406241,0.2315930565,0.2633558446,0.4872422519,0.7360601994,116.4129180937,132.8062206036,2,2
26,200,20.409491,9.595595,2.2240218228,-0.20962,0.0414194639,-2.848224,0.8018145952,-0.271621,0.0305081488,2.952909,0.3102197374,2,0.4917070103,0.0948371431,0.2295782778,0.2544724164,0.6470748123,0.8182591303,119.4116645536,134.7849986056,3,2
26,200,200,9.804777,9.0405002717,3.722566,1.6748439331,-1.330564,0.4054422598,-2.181189,0.7784915276,-0.901663,0.2217688189,2,0.162060248,-0.0546263759,0.2228832071,0.2642357395,0.4624092573,0.5074818808,121.4705460809,131.9639166183,4,2
26,9.561311,200,10.183737,9.7477096418,0.563829,0.1901451045,-0.388518,0.1414421791,-0.378454,0.1349647214,0.217431,0.0841783831,1,0.1736266526,-0.1038192126,0.2558911729,0.2722087802,0.47325916,0.5629430023,117.4398683702,121.3378566754,1,3
26,200,28.689034,10.403268,3.6277096427,-0.427367,0.1233181439,-3.081222,0.8638722691,-0.542246,0.0799118005,2.767739,0.4631305499,2,0.7680109651,0.1650834886,0.2638253592,0.2946672172,0.5448880459,0.7118179728,115.9232742862,132.6516973341,2,3
26,200,16.976608,8.893488,1.420848338,0.602068,0.1939750893,-3.029197,0.6549985954,0.849642,0.0659288914,3.037396,0.3351923555,1,0.3816800927,0.0933358891,0.2193007808,0.2639743166,0.6065004548,0.9444599067,118.6497433179,142.2651406607,3,3
26,200,200,9.662567,6.0510199292,2.240826,0.9266223951,-1.883427,0.8032833842,1.549372,0.4129669428,-1.652806,0.3491611444,3,0.3118954419,0.0654692709,0.2438705664,0.3005595694,0.4482314151,0.597844384,122.6803913552,137.0339942305,4,3
22,6.667385,200,10.167594,9.9126561034,0.454436,0.134690335,-0.622364,0.4036814187,0.351985,0.0704699064,0.235304,0.0285549655,0,-0.0144099562,-0.0144099562,0.2056397186,0.2384080776,0.6804821238,0.7619485815,123.0261471874,130.1241640088,1,1
22,200,200,11.125993,2.7039032783,-0.367876,0.0962820922,3.278797,0.7492358296,0.21229,0.0246326748,-1.295423,0.1531423687,2,0.2578335176,0.0575794603,0.1793606332,0.2832471879,0.3364224245,0.5195123438,143.2027532428,160.9688977256,2,1
22,200,7.66683,10.099496,2.8385412843,-0.168006,0.073093902,-2.804834,0.591772,0.089922,0.014644149,1.222623,0.1810353882,4,0.3323257845,0.1450597625,0.18872826,0.2526990075,0.4874176248,0.7258889136,155.0397141563,185.8639990104,3,1
22,200,200,9.780411,9.0602892569,3.780124,1.6967194506,-1.131713,0.3732322213,-0.868969,0.2943602095,-0.376792,0.075487253,0,0.0194057181,0.0194057181,0.2098086004,0.2599375965,0.2889346046,0.3691104454,147.4180108006,151.1945249784,4,1
23,6.308796,200,10.230265,9.8939710098,0.603755,0.1592745735,-1.024089,0.5116061765,-1.022083,0.1978364559,-0.873822,0.1092912304,0,-0.0594651867,-0.0594651867,,,0.2011199583,0.2992467956,94.530397337,114.6374881664,1,2
23,200,200,10.446157,4.4625291466,-0.349002,0.1216477701,-2.848576,1.0832794626,0.560751,0.0892667241,2.868004,0.4701124598,1,0.0934219743,-0.0084616737,,,0.0416616977,0.0784421363,118.5591928761,126.1898971472,2,2
23,200,11.646454,8.241094,2.3129062118,-0.147986,0.0714168018,-2.579232,0.77594859,-0.302182,0.0358369499,2.725112,0.4459612688,1,0.4061674802,0.1304960347,,,0.0561099745,0.1344481975,103.15088793,120.8925454398,3,2
23,200,200,9.683503,7.3543094103,2.253803,1.0887791474,-1.659179,0.5809097147,1.56339,0.4770715897,-1.276229,0.3281328333,0,-0.1030200556,-0.1030200556,,,0.1377494671,0.2989577099,102.2264082498,128.6522829683,4,2
23,8.819716,200,10.298353,9.9718165149,0.579012,0.1586164257,-0.596175,0.4438393564,-0.870343,0.1894740149,0.392944,0.0426207079,0,0.0339795483,0.0339795483,,,0.0634090143,0.0922440568,107.5589972276,117.1791326793,1,1
23,200,200,10.337851,4.7278814862,-0.345097,0.1211915413,-2.87914,1.1474929725,-0.529586,0.0936783761,3.08542,0.5051085872,1,0.2888959734,0.0514065592,,,0.0322001834,0.0740926315,117.7562599449,132.454419088,2,1
23,200,19.18578,10.118048,3.2439708697,-0.132093,0.0510114787,-2.787218,0.7637091865,-0.267303,0.0372297371,2.931177,0.486449809,2,0.2721795846,0.140107946,,,0.1493561017,0.4012069487,112.2562609729,124.3209795308,3,1
23,200,200,9.85451,9.0681512609,3.734148,1.7002355889,-1.482247,0.3965983399,-2.101134,0.733393083,-1.056749,0.2143336443,1,-0.011734758,-0.0072769874,,,0.1263843632,0.1645895445,90.0670742427,95.5240585922,4,1
29,3.938488,200,10.19337,9.7228979602,0.506335,0.1817199751,-0.361581,0.1488572687,-0.403314,0.129024801,0.2578,0.0769100896,0,-0.0012629411,-0.0012629411,0.2547207057,0.2821882561,0.4206909705,0.5674950709,125.8761207072,141.7579463782,1,3
29,200,200,10.292577,2.7576737135,-0.369942,0.128332516,-2.879089,0.7045355196,-0.450427,0.0605735071,2.855152,0.3011661388,0,0.0005749335,0.0005749335,0.2239882146,0.2641569295,0.4760338554,0.6970122478,93.4181147425,131.1048056225,2,3
29,200,13.616452,9.907091,1.8089318703,1.010325,0.1778475055,-3.087891,0.7705740374,0.83767,0.097595367,3.073749,0.4019504571,0,6.06598257802406E-05,6.06598257802406E-05,0.1413835828,0.2282124811,0.7359590658,0.9987401559,85.2137036315,93.0647708885,3,3
29,200,200,9.872283,8.9951966339,3.80478,1.6980209567,-2.115959,0.466125815,-2.198932,0.7715897835,-1.287952,0.2632934843,0,-0.0011336367,-0.0011336367,0.1814988876,0.2188982185,0.7912153619,0.8643737184,83.3352497631,108.1902857423,4,3
14,9.164601,200,10.129455,9.7148325842,0.561785,0.1831597079,-0.369765,0.1277253218,-0.409997,0.1239177772,0.247356,0.0747644901,0,0.1633309782,0.1633309782,0.2667670203,0.2961993615,0.729956957,0.8139220845,103.0092443665,106.8197788898,1,3
14,200,36.277926,10.131467,4.6363579371,-0.366572,0.1301205719,-2.744268,1.0995803892,-0.415113,0.0900247695,2.897043,0.4895761826,1,0.0651383565,-0.176801855,0.2869876695,0.3212830171,0.4890468031,0.5825906744,85.1180118749,93.8778378383,2,3
14,200,14.672018,9.624712,1.6580071756,0.951437,0.2039471178,-2.847273,0.7118680918,-1.080686,0.0991860519,-2.838382,0.3571310958,2,0.492323145,0.1409792552,0.1754504332,0.2874034955,0.7719596254,0.9585993825,97.3898464828,107.4818944399,3,3
