,pid,Comfort,Anxiety,LatDist,LongDist,MaxVel,MeanVel,MaxLatAcc,MeanLatAcc,MaxLongAcc,MeanLongAcc,MaxLatJerk,MeanLatJerk,MaxLongJerk,MeanLongJerk,NumPks,MaxPkAmp,MeanScl,MeanEntropy,MaxEntropy,MeanDwell,MaxDwell,MeanHr,MaxHr,Event,Trial
0,25,10,1,6.474984,200.0,10.271985,10.01176079,0.600456,0.1511953465,-0.596865,0.43507709899999997,-0.617045,0.1888666287,0.580091,0.042494059400000006,1,-0.1275198119,-0.3551013859,0.2861873431,0.3007512928,0.5080002551,0.6316704194,94.65467548,107.94457560000001,1,2
1,25,9,2,200.0,200.0,10.338778,4.653754741,-0.383833,0.122324759,-2.944633,1.135774771,0.49029799999999996,0.08516372289999999,2.923728,0.5027934458,2,1.39617682,0.47530930299999996,0.26805823370000004,0.3029988357,0.5154260948,0.7460255241,86.51015487,114.7850467,2,2
2,25,8,1,200.0,18.986676,9.633541000000001,2.463980569,-0.152322,0.0342431186,-2.930145,0.8791575448000001,-0.277891,0.0340155109,3.3275349999999997,0.3655485182,3,1.607520958,0.5481559487,0.20847944329999998,0.2518248085,0.6835034484,0.8781874506,104.66443149999999,134.8316066,3,2
3,25,8,2,200.0,200.0,9.710018,8.851738958,3.789225,1.673985073,-1.9321959999999998,0.49356396140000003,-2.043432,0.7673101815000001,-0.972836,0.23156051739999997,1,0.9383381440999999,-0.0201225755,0.262981069,0.3046823517,0.4518781707,0.5541434156,74.19319524,80.24418168,4,2
4,9,6,3,7.20242068,200.0,10.205718,9.713494741,0.551719,0.1872449552,-0.368637,0.15947701,-0.147836,0.049932900499999995,0.093252,0.0339666965,1,0.0134421928,-0.0209360076,0.2027091214,0.23531940329999998,0.796694322,0.872296948,130.1903634,170.8384038,1,0
5,9,5,3,200.0,30.851827,9.749951,4.24831757,-0.306346,0.1046361425,-2.8958150000000002,0.9307084575,0.193598,0.0353097589,1.13909,0.2620015452,1,0.21899255480000002,0.0751451571,0.248384666,0.2852129243,0.5500947002000001,0.709840096,124.7739169,190.89785940000002,2,0
6,9,4,4,200.0,16.274537,11.612985,1.722668724,0.8384469999999999,0.19847763370000002,-4.025229,0.8164770926,-0.239828,0.028833315800000002,-2.072683,0.23129588,1,0.5733652268,0.2653213791,0.22368893329999998,0.31206746879999997,0.5106886632,0.7445915853,91.6428619,135.0315064,3,0
7,9,6,3,200.0,200.0,9.737537,9.096516889,3.9430080000000003,1.745049265,-1.477924,0.4243337549,-0.872029,0.3052763953,-0.324383,0.0717470198,2,0.11373698369999999,-0.0037187487,0.22634968100000002,0.27844023170000004,0.6406535663,0.9023522140000001,126.4936256,138.07509140000002,4,0
8,12,9,2,6.442908999999999,200.0,10.157352000000001,9.639806248,0.49912799999999996,0.1763108911,-0.350711,0.1814038911,-0.372028,0.1293855149,0.274781,0.0845302525,1,-0.28566140100000004,-0.5190147521,0.2266288234,0.257818251,0.4426592468,0.5113294970000001,92.90408231,105.53113190000002,1,0
9,12,8,2,200.0,37.279955,11.461219,2.478270815,-0.373523,0.1306819003,3.1122229999999997,0.6775626093000001,-1.111977,0.058472008,-3.148629,0.34338498549999996,2,0.466918964,0.1255327087,0.2407757498,0.29667826129999997,0.5110847622,0.727545135,117.044128,138.56282019999998,2,0
